Process Date,Process ID,ProcessDate_ProcessID,Artifact type,Analysis,Artifact name,Concentration,Fragment length
2020-03-03,24-82434,2020-03-03_24-82434,analyte,Parad - GMSMyeloidv1.0,1649-20,29.1,555
2020-03-03,24-82434,2020-03-03_24-82434,analyte,Parad - GMSMyeloidv1.0,1648-20,32.2,557
2020-03-03,24-82434,2020-03-03_24-82434,analyte,Parad - GMSMyeloidv1.0,176-20,36.8,613
2020-03-03,24-82434,2020-03-03_24-82434,analyte,Parad - GMSMyeloidv1.0,2619-19-v4,36.4,580
2020-03-05,24-82908,2020-03-05_24-82908,pool,TwistMyeloid,TwistMyeloid_27-58741,10.7,639
2020-03-05,24-82910,2020-03-05_24-82910,pool,TwistMyeloid,TwistMyeloid_27-58743,6.44,639
2020-03-05,24-82910,2020-03-05_24-82910,pool,TwistMyeloid,TwistMyeloid_27-58742,6.1,657
2020-03-10,24-83322,2020-03-10_24-83322,analyte,Oparad - MPN - GMSMyeloidv1.0,2298-20,48.4,557
2020-03-10,24-83322,2020-03-10_24-83322,analyte,Oparad - MPN - GMSMyeloidv1.0,2292-20,51,583
2020-03-10,24-83322,2020-03-10_24-83322,analyte,Parad - GMSMyeloidv1.0,1773-20,56,589
2020-03-10,24-83322,2020-03-10_24-83322,analyte,Parad - GMSMyeloidv1.0,1779-20,47.5,565
2020-03-10,24-83322,2020-03-10_24-83322,analyte,Parad - GMSMyeloidv1.0,1778-20,55,585
2020-03-10,24-83322,2020-03-10_24-83322,analyte,Parad - GMSMyeloidv1.0,1957-20,51,550
2020-03-10,24-83322,2020-03-10_24-83322,analyte,Parad - GMSMyeloidv1.0,1869-20,53,559
2020-03-10,24-83322,2020-03-10_24-83322,analyte,Parad - GMSMyeloidv1.0,1837-20,46,558
2020-03-10,24-83322,2020-03-10_24-83322,analyte,Parad - GMSMyeloidv1.0,1839-20,52,566
2020-03-10,24-83322,2020-03-10_24-83322,analyte,Oparad - MPN - GMSMyeloidv1.0,2238-20,46.6,561
2020-03-10,24-83322,2020-03-10_24-83322,analyte,Oparad - MPN - GMSMyeloidv1.0,2255-20,51,569
2020-03-10,24-83322,2020-03-10_24-83322,analyte,Oparad - MPN - GMSMyeloidv1.0,2183-20,51,605
2020-03-10,24-83322,2020-03-10_24-83322,analyte,Oparad - MPN - GMSMyeloidv1.0,2195-20,59,591
2020-03-10,24-83322,2020-03-10_24-83322,analyte,Parad - GMSMyeloidv1.0,1996-20,50,592
2020-03-10,24-83322,2020-03-10_24-83322,analyte,Parad - GMSMyeloidv1.0,1997-20,57,592
2020-03-10,24-83322,2020-03-10_24-83322,analyte,Oparad - KLL - GMSMyeloidv1.0,1903-20,42.6,522
2020-03-10,24-83322,2020-03-10_24-83322,analyte,Parad - GMSMyeloidv1.0,1959-20,54,605
2020-03-10,24-83322,2020-03-10_24-83322,analyte,Oparad - MPN - GMSMyeloidv1.0,2303-20,56,550
2020-03-10,24-83322,2020-03-10_24-83322,analyte,Oparad - KLL - GMSMyeloidv1.0,2213-20,46.9,580
2020-03-10,24-83322,2020-03-10_24-83322,analyte,Oparad - KLL - GMSMyeloidv1.0,2211-20,51,596
2020-03-10,24-83322,2020-03-10_24-83322,analyte,Oparad - MPN - GMSMyeloidv1.0,2181-20,50,558
2020-03-10,24-83322,2020-03-10_24-83322,analyte,Oparad - MPN - GMSMyeloidv1.0,2180-20,54,565
2020-03-10,24-83322,2020-03-10_24-83322,analyte,Oparad - KLL - GMSMyeloidv1.0,1962-20,45.4,539
2020-03-10,24-83322,2020-03-10_24-83322,analyte,Oparad - MPN - GMSMyeloidv1.0,2099-20,55,587
2020-03-10,24-83322,2020-03-10_24-83322,analyte,Oparad - MPN - GMSMyeloidv1.0,2089-20,43.1,587
2020-03-10,24-83322,2020-03-10_24-83322,analyte,Oparad - KLL - GMSMyeloidv1.0,1964-20,43.1,515
2020-03-10,24-83322,2020-03-10_24-83322,analyte,Oparad - MPN - GMSMyeloidv1.0,2156-20,52,565
2020-03-10,24-83322,2020-03-10_24-83322,analyte,Oparad - MPN - GMSMyeloidv1.0,2135-20,51,580
2020-03-10,24-83322,2020-03-10_24-83322,analyte,Oparad - KLL - GMSMyeloidv1.0,2119-20,55,548
2020-03-10,24-83322,2020-03-10_24-83322,analyte,Oparad - AML - GMSMyeloidv1.0,2117-20,55,557
2020-03-11,24-83432,2020-03-11_24-83432,pool,TwistMyeloid,TwistMyeloid_27-59438,5.71,611
2020-03-11,24-83432,2020-03-11_24-83432,pool,TwistMyeloid,TwistMyeloid_27-59439,5.97,635
2020-03-11,24-83432,2020-03-11_24-83432,pool,TwistMyeloid,TwistMyeloid_27-59440,5.45,638
2020-03-11,24-83432,2020-03-11_24-83432,pool,TwistMyeloid,TwistMyeloid_27-59441,5.83,617
2020-03-17,24-84214,2020-03-17_24-84214,analyte,Oparad - MPN - GMSMyeloidv1.0,2399-20,43.7,606
2020-03-17,24-84214,2020-03-17_24-84214,analyte,Oparad - KLL - GMSMyeloidv1.0,2412-20,43.9,592
2020-03-17,24-84214,2020-03-17_24-84214,analyte,Oparad - MPN - GMSMyeloidv1.0,2420-20,44,575
2020-03-17,24-84214,2020-03-17_24-84214,analyte,Oparad - MPN - GMSMyeloidv1.0,2422-20,44.5,576
2020-03-17,24-84214,2020-03-17_24-84214,analyte,Parad - GMSMyeloidv1.0,2433-20,41.3,562
2020-03-17,24-84214,2020-03-17_24-84214,analyte,Parad - GMSMyeloidv1.0,2435-20,42.2,567
2020-03-17,24-84214,2020-03-17_24-84214,analyte,Oparad - KLL - GMSMyeloidv1.0,2362-20,41.7,565
2020-03-17,24-84214,2020-03-17_24-84214,analyte,Oparad - KLL - GMSMyeloidv1.0,2379-20,47,588
2020-03-17,24-84214,2020-03-17_24-84214,analyte,Parad - GMSMyeloidv1.0,11400-19-v2,40.6,580
2020-03-17,24-84214,2020-03-17_24-84214,analyte,Parad - GMSMyeloidv1.0,2013-20,50,576
2020-03-17,24-84214,2020-03-17_24-84214,analyte,Parad - GMSMyeloidv1.0,10614-19-v2,46.2,598
2020-03-17,24-84214,2020-03-17_24-84214,analyte,Oparad - MPN - GMSMyeloidv1.0,2437-20,38.9,575
2020-03-17,24-84214,2020-03-17_24-84214,analyte,Oparad - MPN - GMSMyeloidv1.0,2444-20,41.9,606
2020-03-17,24-84214,2020-03-17_24-84214,analyte,Oparad - KLL - GMSMyeloidv1.0,2447-20,42.4,612
2020-03-17,24-84214,2020-03-17_24-84214,analyte,Parad - GMSMyeloidv1.0,2096-20,55,584
2020-03-17,24-84214,2020-03-17_24-84214,analyte,Parad - GMSMyeloidv1.0,2014-20,49.4,556
2020-03-17,24-84214,2020-03-17_24-84214,analyte,Parad - GMSMyeloidv1.0,2104-20,48.4,532
2020-03-17,24-84214,2020-03-17_24-84214,analyte,Parad - GMSMyeloidv1.0,2097-20,44,542
2020-03-17,24-84214,2020-03-17_24-84214,analyte,Oparad - AlloSCT - GMSMyeloidv1.0,2334-20,52,620
2020-03-17,24-84214,2020-03-17_24-84214,analyte,Parad - GMSMyeloidv1.0,2105-20,43.5,599
2020-03-17,24-84214,2020-03-17_24-84214,analyte,Oparad - KLL - GMSMyeloidv1.0,2346-20,44.1,572
2020-03-17,24-84214,2020-03-17_24-84214,analyte,Parad - GMSMyeloidv1.0,2344-20,47.1,587
2020-03-17,24-84214,2020-03-17_24-84214,analyte,Oparad - KLL - GMSMyeloidv1.0,2357-20,48.5,611
2020-03-17,24-84214,2020-03-17_24-84214,analyte,Oparad - KLL - GMSMyeloidv1.0,2355-20,47.7,568
2020-03-17,24-84214,2020-03-17_24-84214,analyte,Parad - GMSMyeloidv1.0,2261-20,42.3,588
2020-03-17,24-84214,2020-03-17_24-84214,analyte,Oparad - MPN - GMSMyeloidv1.0,2456-20,40.7,583
2020-03-17,24-84214,2020-03-17_24-84214,analyte,Parad - GMSMyeloidv1.0,2214-20,44.6,568
2020-03-17,24-84214,2020-03-17_24-84214,analyte,Parad - GMSMyeloidv1.0,6858-19-v2,36.4,613
2020-03-17,24-84214,2020-03-17_24-84214,analyte,Parad - GMSMyeloidv1.0,2259-20,44,583
2020-03-17,24-84214,2020-03-17_24-84214,analyte,Parad - GMSMyeloidv1.0,2217-20,40.6,566
2020-03-18,24-84278,2020-03-18_24-84278,pool,TwistMyeloid,TwistMyeloid_27-60131,7.51,648
2020-03-18,24-84278,2020-03-18_24-84278,pool,TwistMyeloid,TwistMyeloid_27-60132,7.13,651
2020-03-18,24-84278,2020-03-18_24-84278,pool,TwistMyeloid,TwistMyeloid_27-60134,7.27,622
2020-03-18,24-84278,2020-03-18_24-84278,pool,TwistMyeloid,TwistMyeloid_27-60133,7.36,631
2020-03-24,24-84912,2020-03-24_24-84912,analyte,Parad - GMSMyeloidv1.0,2432-20,39,557
2020-03-24,24-84912,2020-03-24_24-84912,analyte,Parad - GMSMyeloidv1.0,2429-20,40.4,543
2020-03-24,24-84912,2020-03-24_24-84912,analyte,Parad - GMSMyeloidv1.0,2333-20,43.3,555
2020-03-24,24-84912,2020-03-24_24-84912,analyte,Oparad - MPN - GMSMyeloidv1.0,2625-20,44.4,594
2020-03-24,24-84912,2020-03-24_24-84912,analyte,Parad - GMSMyeloidv1.0,11145-19-v3,40.2,585
2020-03-24,24-84912,2020-03-24_24-84912,analyte,Parad - GMSMyeloidv1.0,2508-20,36.1,564
2020-03-24,24-84912,2020-03-24_24-84912,analyte,Parad - GMSMyeloidv1.0,2488-20,29.7,486
2020-03-24,24-84912,2020-03-24_24-84912,analyte,Parad - GMSMyeloidv1.0,2470-20,32.2,609
2020-03-24,24-84912,2020-03-24_24-84912,analyte,Parad - GMSMyeloidv1.0,2469-20,35.2,543
2020-03-24,24-84912,2020-03-24_24-84912,analyte,Oparad - AlloSCT - GMSMyeloidv1.0,709-20,39.8,577
2020-03-24,24-84912,2020-03-24_24-84912,analyte,Parad - GMSMyeloidv1.0,617-20,40.7,562
2020-03-24,24-84912,2020-03-24_24-84912,analyte,Oparad - MPN - GMSMyeloidv1.0,2627-20,39.3,613
2020-03-24,24-84912,2020-03-24_24-84912,analyte,Oparad - KLL - GMSMyeloidv1.0,2555-20,37,561
2020-03-24,24-84912,2020-03-24_24-84912,analyte,Oparad - KLL - GMSMyeloidv1.0,2558-20,39.6,555
2020-03-24,24-84912,2020-03-24_24-84912,analyte,Oparad - MPN - GMSMyeloidv1.0,2547-20,41,612
2020-03-24,24-84912,2020-03-24_24-84912,analyte,Oparad - MPN - GMSMyeloidv1.0,2554-20,100,624
2020-03-24,24-84912,2020-03-24_24-84912,analyte,Oparad - MPN - GMSMyeloidv1.0,2518-20,39.6,606
2020-03-24,24-84912,2020-03-24_24-84912,analyte,Oparad - MPN - GMSMyeloidv1.0,2524-20,43.1,599
2020-03-24,24-84912,2020-03-24_24-84912,analyte,Parad - GMSMyeloidv1.0,2442-20,43.4,572
2020-03-24,24-84912,2020-03-24_24-84912,analyte,Parad - GMSMyeloidv1.0,2443-20,35.8,614
2020-03-24,24-84912,2020-03-24_24-84912,analyte,Oparad - KLL - GMSMyeloidv1.0,2563-20,42.7,553
2020-03-24,24-84912,2020-03-24_24-84912,analyte,Parad - GMSMyeloidv1.0,2580-20,46.9,557
2020-03-24,24-84912,2020-03-24_24-84912,analyte,Parad - GMSMyeloidv1.0,2332-20,60,636
2020-03-25,24-85006,2020-03-25_24-85006,pool,TwistMyeloid,TwistMyeloid_27-60877,6.1,598
2020-03-25,24-85006,2020-03-25_24-85006,pool,TwistMyeloid,TwistMyeloid_27-60876,5.65,627
2020-03-25,24-85006,2020-03-25_24-85006,pool,TwistMyeloid,TwistMyeloid_27-60875,6.59,626
2020-03-31,24-85620,2020-03-31_24-85620,analyte,Oparad - MPN - GMSMyeloidv1.0,2793-20,35.7,596
2020-03-31,24-85620,2020-03-31_24-85620,analyte,Parad - GMSMyeloidv1.0,2702-20,34.9,628
2020-03-31,24-85620,2020-03-31_24-85620,analyte,Oparad - KLL - GMSMyeloidv1.0,2775-20,44.9,621
2020-03-31,24-85620,2020-03-31_24-85620,analyte,Parad - GMSMyeloidv1.0,2700-20,45.3,591
2020-03-31,24-85620,2020-03-31_24-85620,analyte,Parad - GMSMyeloidv1.0,2461-17,29.8,643
2020-03-31,24-85620,2020-03-31_24-85620,analyte,Parad - GMSMyeloidv1.0,2520-20,36.2,619
2020-03-31,24-85620,2020-03-31_24-85620,analyte,Parad - GMSMyeloidv1.0,2523-20,32.3,607
2020-03-31,24-85620,2020-03-31_24-85620,analyte,Parad - GMSMyeloidv1.0,2589-20,36,592
2020-03-31,24-85620,2020-03-31_24-85620,analyte,Oparad - AlloSCT - GMSMyeloidv1.0,2768-20,38.6,615
2020-03-31,24-85620,2020-03-31_24-85620,analyte,Oparad - MPN - GMSMyeloidv1.0,2767-20,23.4,609
2020-03-31,24-85620,2020-03-31_24-85620,analyte,Parad - GMSMyeloidv1.0,2716-20,39.8,615
2020-03-31,24-85620,2020-03-31_24-85620,analyte,Parad - GMSMyeloidv1.0,2623-20,37.9,642
2020-03-31,24-85620,2020-03-31_24-85620,analyte,Parad - GMSMyeloidv1.0,2590-20,35.4,592
2020-03-31,24-85620,2020-03-31_24-85620,analyte,Parad - GMSMyeloidv1.0,2622-20,36.3,622
2020-03-31,24-85620,2020-03-31_24-85620,analyte,Oparad - MPN - GMSMyeloidv1.0,2834-20,37.4,615
2020-03-31,24-85620,2020-03-31_24-85620,analyte,Oparad - MPN - GMSMyeloidv1.0,2821-20,38.4,614
2020-04-01,24-85735,2020-04-01_24-85735,pool,TwistMyeloid,TwistMyeloid_27-61486,5.44,624
2020-04-01,24-85735,2020-04-01_24-85735,pool,TwistMyeloid,TwistMyeloid_27-61485,7.1,628
2020-04-07,24-86441,2020-04-07_24-86441,analyte,Parad - GMSMyeloidv1.0,2816-20,54.6,607
2020-04-07,24-86441,2020-04-07_24-86441,analyte,Parad - GMSMyeloidv1.0,2836-20,48.1,585
2020-04-07,24-86441,2020-04-07_24-86441,analyte,Parad - GMSMyeloidv1.0,2808-20,43.8,607
2020-04-07,24-86441,2020-04-07_24-86441,analyte,Oparad - KLL - GMSMyeloidv1.0,3116-20,108,585
2020-04-07,24-86441,2020-04-07_24-86441,analyte,Oparad - MPN - GMSMyeloidv1.0,2841-20,39,609
2020-04-07,24-86441,2020-04-07_24-86441,analyte,Parad - GMSMyeloidv1.0,2837-20,45.3,609
2020-04-07,24-86441,2020-04-07_24-86441,analyte,Oparad - KLL - GMSMyeloidv1.0,3067-20,43.9,588
2020-04-07,24-86441,2020-04-07_24-86441,analyte,Oparad - MPN - GMSMyeloidv1.0,2591-20,42.5,599
2020-04-07,24-86441,2020-04-07_24-86441,analyte,Parad - GMSMyeloidv1.0,2815-20,47.7,584
2020-04-07,24-86441,2020-04-07_24-86441,analyte,Parad - GMSMyeloidv1.0,2806-20,50,564
2020-04-07,24-86441,2020-04-07_24-86441,analyte,Parad - GMSMyeloidv1.0,2777-20,46.4,619
2020-04-07,24-86441,2020-04-07_24-86441,analyte,Parad - GMSMyeloidv1.0,2776-20,52.6,616
2020-04-07,24-86441,2020-04-07_24-86441,analyte,Parad - GMSMyeloidv1.0,9426-19-v2,48.2,609
2020-04-07,24-86441,2020-04-07_24-86441,analyte,Oparad - MPN - GMSMyeloidv1.0,3076-20,50.9,598
2020-04-07,24-86441,2020-04-07_24-86441,analyte,Oparad - MPN - GMSMyeloidv1.0,3074-20,57.5,610
2020-04-07,24-86441,2020-04-07_24-86441,analyte,Parad - GMSMyeloidv1.0,3050-20,43.3,601
2020-04-08,24-86638,2020-04-08_24-86638,pool,TwistMyeloid,TwistMyeloid_27-62152,6.67,628
2020-04-08,24-86638,2020-04-08_24-86638,pool,TwistMyeloid,TwistMyeloid_27-62153,5.55,629
2020-04-15,24-87067,2020-04-15_24-87067,analyte,Parad - GMSMyeloidv1.0,3161-20,35.4,619
2020-04-15,24-87067,2020-04-15_24-87067,analyte,Parad - GMSMyeloidv1.0,3162-20,37.6,606
2020-04-15,24-87067,2020-04-15_24-87067,analyte,Parad - GMSMyeloidv1.0,3058-20,41.1,587
2020-04-15,24-87067,2020-04-15_24-87067,analyte,Oparad - MPN - GMSMyeloidv1.0,3220-20,47.6,596
2020-04-15,24-87067,2020-04-15_24-87067,analyte,Oparad - MPN - GMSMyeloidv1.0,3219-20,32.2,593
2020-04-15,24-87067,2020-04-15_24-87067,analyte,Parad - GMSMyeloidv1.0,3031-20,30.5,619
2020-04-15,24-87067,2020-04-15_24-87067,analyte,Parad - GMSMyeloidv1.0,3264-20,42.4,599
2020-04-15,24-87067,2020-04-15_24-87067,analyte,Parad - GMSMyeloidv1.0,3190-20,43.5,631
2020-04-15,24-87067,2020-04-15_24-87067,analyte,Parad - GMSMyeloidv1.0,2715-20,48.2,568
2020-04-15,24-87067,2020-04-15_24-87067,analyte,Oparad - MPN - GMSMyeloidv1.0,3212-20,38.8,619
2020-04-15,24-87067,2020-04-15_24-87067,analyte,Oparad - KLL - GMSMyeloidv1.0,3201-20,41.1,621
2020-04-15,24-87067,2020-04-15_24-87067,analyte,Parad - GMSMyeloidv1.0,2404-19-v2,46.3,564
2020-04-15,24-87067,2020-04-15_24-87067,analyte,Parad - GMSMyeloidv1.0,10820-18-v7,35,612
2020-04-15,24-87067,2020-04-15_24-87067,analyte,Parad - GMSMyeloidv1.0,3057-20,39.6,598
2020-04-15,24-87067,2020-04-15_24-87067,analyte,Parad - GMSMyeloidv1.0,3032-20,21.9,609
2020-04-15,24-87067,2020-04-15_24-87067,analyte,Parad - GMSMyeloidv1.0,2717-20,43.6,595
2020-04-16,24-87249,2020-04-16_24-87249,pool,TwistMyeloid,TwistMyeloid_27-62598,6.97,641
2020-04-16,24-87249,2020-04-16_24-87249,pool,TwistMyeloid,TwistMyeloid_27-62597,6.14,627
2020-04-21,24-87791,2020-04-21_24-87791,analyte,Oparad - KLL - GMSMyeloidv1.0,3456-20,47.3,598
2020-04-21,24-87791,2020-04-21_24-87791,analyte,Oparad - KLL - GMSMyeloidv1.0,3449-20,55,585
2020-04-21,24-87791,2020-04-21_24-87791,analyte,Oparad - MPN - GMSMyeloidv1.0,3247-20,48.6,581
2020-04-21,24-87791,2020-04-21_24-87791,analyte,Oparad - KLL - GMSMyeloidv1.0,3288-20,43.2,554
2020-04-21,24-87791,2020-04-21_24-87791,analyte,Parad - GMSMyeloidv1.0,9232-18,39.3,596
2020-04-21,24-87791,2020-04-21_24-87791,analyte,Oparad - AlloSCT - GMSMyeloidv1.0,3427-20,46,598
2020-04-21,24-87791,2020-04-21_24-87791,analyte,Oparad - AlloSCT - GMSMyeloidv1.0,3337-20,47.1,594
2020-04-21,24-87791,2020-04-21_24-87791,analyte,Oparad - MPN - GMSMyeloidv1.0,3314-20,51,583
2020-04-21,24-87791,2020-04-21_24-87791,analyte,Parad - GMSMyeloidv1.0,3384-20,43.2,590
2020-04-21,24-87791,2020-04-21_24-87791,analyte,Oparad - MPN - GMSMyeloidv1.0,3349-20,49.5,595
2020-04-21,24-87791,2020-04-21_24-87791,analyte,Oparad - MPN - GMSMyeloidv1.0,3422-20,54,612
2020-04-21,24-87791,2020-04-21_24-87791,analyte,Oparad - MPN - GMSMyeloidv1.0,3417-20,42.6,597
2020-04-22,24-87965,2020-04-22_24-87965,pool,TwistMyeloid,TwistMyeloid_27-63160,5.64,634
2020-04-22,24-87965,2020-04-22_24-87965,pool,TwistMyeloid,TwistMyeloid_27-63161,5.3,627
2020-04-28,24-88570,2020-04-28_24-88570,analyte,Oparad - MPN - GMSMyeloidv1.0,3645-20,37,615
2020-04-28,24-88570,2020-04-28_24-88570,analyte,Parad - GMSMyeloidv1.0,3492-20,34.2,602
2020-04-28,24-88570,2020-04-28_24-88570,analyte,Parad - GMSMyeloidv1.0,2686-19-v2,41.9,588
2020-04-28,24-88570,2020-04-28_24-88570,analyte,Parad - GMSMyeloidv1.0,3364-20,40.1,596
2020-04-28,24-88570,2020-04-28_24-88570,analyte,Parad - GMSMyeloidv1.0,3368-20,35.3,577
2020-04-28,24-88570,2020-04-28_24-88570,analyte,Parad - GMSMyeloidv1.0,3365-20,34.8,579
2020-04-28,24-88570,2020-04-28_24-88570,analyte,Parad - GMSMyeloidv1.0,3374-20,41.9,596
2020-04-28,24-88570,2020-04-28_24-88570,analyte,Parad - GMSMyeloidv1.0,3369-20,33.2,592
2020-04-28,24-88570,2020-04-28_24-88570,analyte,Parad - GMSMyeloidv1.0,3491-20,38.6,598
2020-04-28,24-88570,2020-04-28_24-88570,analyte,Oparad - MPN - GMSMyeloidv1.0,3632-20,41,601
2020-04-28,24-88570,2020-04-28_24-88570,analyte,Parad - GMSMyeloidv1.0,3376-20,32.8,568
2020-04-28,24-88570,2020-04-28_24-88570,analyte,Parad - GMSMyeloidv1.0,3562-20,36.3,599
2020-04-28,24-88570,2020-04-28_24-88570,analyte,Oparad - KLL - GMSMyeloidv1.0,3597-20,33.6,602
2020-04-28,24-88570,2020-04-28_24-88570,analyte,Parad - GMSMyeloidv1.0,3339-20,46.2,593
2020-04-28,24-88570,2020-04-28_24-88570,analyte,Parad - GMSMyeloidv1.0,3340-20,40.7,631
2020-04-28,24-88570,2020-04-28_24-88570,analyte,Parad - GMSMyeloidv1.0,3300-20,42.6,584
2020-04-28,24-88570,2020-04-28_24-88570,analyte,Parad - GMSMyeloidv1.0,3301-20,38.3,574
2020-04-28,24-88570,2020-04-28_24-88570,analyte,Oparad - MPN - GMSMyeloidv1.0,3508-20,42.3,599
2020-04-28,24-88570,2020-04-28_24-88570,analyte,Oparad - AlloSCT - GMSMyeloidv1.0,3512-20,35.5,590
2020-04-28,24-88570,2020-04-28_24-88570,analyte,Oparad - KLL - GMSMyeloidv1.0,3452-20,42.8,620
2020-04-28,24-88570,2020-04-28_24-88570,analyte,Oparad - AML - GMSMyeloidv1.0,3480-20,43.7,578
2020-04-29,24-88714,2020-04-29_24-88714,pool,TwistMyeloid,TwistMyeloid_27-63733,6.57,644
2020-04-29,24-88714,2020-04-29_24-88714,pool,TwistMyeloid,TwistMyeloid_27-63734,6.8,637
2020-04-29,24-88714,2020-04-29_24-88714,pool,TwistMyeloid,TwistMyeloid_27-63735,6.94,615
2020-05-05,24-89578,2020-05-05_24-89578,analyte,Parad - GMSMyeloidv1.0,3683-20,42.7,659
2020-05-05,24-89578,2020-05-05_24-89578,analyte,Parad - GMSMyeloidv1.0,3682-20,49.2,602
2020-05-05,24-89578,2020-05-05_24-89578,analyte,Oparad - MPN - GMSMyeloidv1.0,3922-20,42,654
2020-05-05,24-89578,2020-05-05_24-89578,analyte,Oparad - MPN - GMSMyeloidv1.0,3787-20,41,627
2020-05-05,24-89578,2020-05-05_24-89578,analyte,Parad - GMSMyeloidv1.0,3552-20,43.5,604
2020-05-05,24-89578,2020-05-05_24-89578,analyte,Parad - GMSMyeloidv1.0,3551-20,36.5,638
2020-05-05,24-89578,2020-05-05_24-89578,analyte,Parad - GMSMyeloidv1.0,3607-20,43.5,611
2020-05-05,24-89578,2020-05-05_24-89578,analyte,Parad - GMSMyeloidv1.0,3606-20,38,583
2020-05-05,24-89578,2020-05-05_24-89578,analyte,Parad - GMSMyeloidv1.0,3609-20,41.7,569
2020-05-05,24-89578,2020-05-05_24-89578,analyte,Parad - GMSMyeloidv1.0,3608-20,33.5,605
2020-05-05,24-89578,2020-05-05_24-89578,analyte,Parad - GMSMyeloidv1.0,3480-20,43.5,608
2020-05-05,24-89578,2020-05-05_24-89578,analyte,Parad - GMSMyeloidv1.0,3481-20,43.1,637
2020-05-05,24-89578,2020-05-05_24-89578,analyte,Oparad - KLL - GMSMyeloidv1.0,3781-20,53,615
2020-05-05,24-89578,2020-05-05_24-89578,analyte,Parad - GMSMyeloidv1.0,11520-19-v2,43.5,635
2020-05-05,24-89578,2020-05-05_24-89578,analyte,Oparad - KLL - GMSMyeloidv1.0,3767-20,47.9,607
2020-05-05,24-89578,2020-05-05_24-89578,analyte,Oparad - MPN - GMSMyeloidv1.0,3770-20,40.2,614
2020-05-05,24-89578,2020-05-05_24-89578,analyte,Oparad - MPN - GMSMyeloidv1.0,3704-20,36.7,609
2020-05-05,24-89578,2020-05-05_24-89578,analyte,Oparad - MPN - GMSMyeloidv1.0,3765-20,38.4,643
2020-05-05,24-89578,2020-05-05_24-89578,analyte,Parad - GMSMyeloidv1.0,3799-20,39,611
2020-05-05,24-89578,2020-05-05_24-89578,analyte,Parad - GMSMyeloidv1.0,3638-20,45.8,615
2020-05-05,24-89578,2020-05-05_24-89578,analyte,Parad - GMSMyeloidv1.0,3639-20,42.1,626
2020-05-06,24-89626,2020-05-06_24-89626,pool,TwistMyeloid,TwistMyeloid_27-64249,6.82,610
2020-05-06,24-89626,2020-05-06_24-89626,pool,TwistMyeloid,TwistMyeloid_27-64247,7.11,616
2020-05-06,24-89626,2020-05-06_24-89626,pool,TwistMyeloid,TwistMyeloid_27-64248,7.04,612
2020-05-12,24-90385,2020-05-12_24-90385,analyte,Parad - GMSMyeloidv1.0,3915-20,47.5,566
2020-05-12,24-90385,2020-05-12_24-90385,analyte,Parad - GMSMyeloidv1.0,3791-20,46,600
2020-05-12,24-90385,2020-05-12_24-90385,analyte,Parad - GMSMyeloidv1.0,3948-20,38.4,611
2020-05-12,24-90385,2020-05-12_24-90385,analyte,Parad - GMSMyeloidv1.0,3968-20,44.5,619
2020-05-12,24-90385,2020-05-12_24-90385,analyte,Parad - GMSMyeloidv1.0,3843-19-v2,44.6,652
2020-05-12,24-90385,2020-05-12_24-90385,analyte,Parad - GMSMyeloidv1.0,4007-20,41.6,612
