Analysis,Classification,Date received,Workflow started (date),Progress,Workflow finished (date),Department,Species,Sequencing runs,Desired read count,Sample concentration (ng/ul),Library concentration (ng/ul),Library concentration (date)
Microbiology WGS Nextera XT,Rutinprov,2020-12-02,2020-12-02,Sequencing and Data Analysis Complete,2020-12-04,Klinisk Mikrobiologi,saureus,1,2100000,6.6,6.17,2020-12-02
Microbiology WGS Nextera XT,Rutinprov,2020-12-02,2020-12-02,Sequencing and Data Analysis Complete,2020-12-04,Klinisk Mikrobiologi,saureus,1,2100000,4.93,6.48,2020-12-02
Microbiology WGS Nextera XT,Rutinprov,2020-12-02,2020-12-02,Sequencing and Data Analysis Complete,2020-12-04,Klinisk Mikrobiologi,saureus,1,2100000,5.11,6.63,2020-12-02
Microbiology WGS Nextera XT,Rutinprov,2020-12-02,2020-12-02,Sequencing and Data Analysis Complete,2020-12-04,Klinisk Mikrobiologi,saureus,1,2100000,6.98,6.53,2020-12-02
Microbiology WGS Nextera XT,Rutinprov,2020-01-13,2020-01-13,Sequencing and Data Analysis Complete,2020-02-06,CTG - Bo Nilsson,sbovis,1,2000000,2.56,2.58,2020-01-14
Microbiology WGS Nextera XT,Rutinprov,2020-12-02,2020-12-02,Sequencing and Data Analysis Complete,2020-12-04,Klinisk Mikrobiologi,saureus,1,2100000,19.6,7.68,2020-12-02
Microbiology WGS Nextera XT,Rutinprov,2020-12-02,2020-12-02,Sequencing and Data Analysis Complete,2020-12-04,Klinisk Mikrobiologi,saureus,1,2100000,14.5,7.15,2020-12-02
Microbiology WGS Nextera XT,Rutinprov,2020-12-02,2020-12-02,Sequencing and Data Analysis Complete,2020-12-04,Klinisk Mikrobiologi,saureus,1,2100000,23.8,6.73,2020-12-02
Microbiology WGS Nextera XT,Rutinprov,2020-12-02,2020-12-02,Sequencing and Data Analysis Complete,2020-12-04,Klinisk Mikrobiologi,saureus,1,2100000,19.3,7.22,2020-12-02
Microbiology WGS Nextera XT,Rutinprov,2020-12-02,2020-12-02,Sequencing and Data Analysis Complete,2020-12-04,Klinisk Mikrobiologi,saureus,1,2100000,24.9,6.86,2020-12-02
Microbiology WGS Nextera XT,Rutinprov,2020-12-02,2020-12-02,Sequencing and Data Analysis Complete,2020-12-04,Klinisk Mikrobiologi,saureus,1,2100000,29,7.06,2020-12-02
Microbiology WGS Nextera XT,Rutinprov,2020-12-02,2020-12-02,Sequencing and Data Analysis Complete,2020-12-04,Klinisk Mikrobiologi,saureus,1,2100000,20.8,6.37,2020-12-02
Microbiology WGS Nextera XT,Rutinprov,2020-12-02,2020-12-02,Sequencing and Data Analysis Complete,2020-12-04,Klinisk Mikrobiologi,saureus,1,2100000,32,6.41,2020-12-02
Microbiology WGS Nextera XT,Rutinprov,2020-12-02,2020-12-02,Sequencing and Data Analysis Complete,2020-12-04,Klinisk Mikrobiologi,saureus,1,2100000,32.1,5.62,2020-12-02
Microbiology WGS Nextera XT,Rutinprov,2020-12-02,2020-12-02,Sequencing and Data Analysis Complete,2020-12-04,Klinisk Mikrobiologi,saureus,1,2100000,9.9,6.71,2020-12-02
Microbiology WGS Nextera XT,Rutinprov,2020-01-13,2020-01-13,Sequencing and Data Analysis Complete,2020-02-06,CTG - Bo Nilsson,sbovis,1,2000000,1.03,2.08,2020-01-14
Microbiology WGS Nextera XT,Rutinprov,2020-12-02,2020-12-02,Sequencing and Data Analysis Complete,2020-12-04,Klinisk Mikrobiologi,saureus,1,2100000,15.2,5.75,2020-12-02
Microbiology WGS Nextera XT,Rutinprov,2020-12-09,2020-12-09,Sequencing and Data Analysis Complete,2020-12-11,Klinisk Mikrobiologi,saureus,1,2100000,13.2,4.7,2020-12-09
Microbiology WGS Nextera XT,Rutinprov,2020-12-09,2020-12-09,Sequencing and Data Analysis Complete,2020-12-11,Klinisk Mikrobiologi,saureus,1,2100000,11.6,3.66,2020-12-09
Microbiology WGS Nextera XT,Rutinprov,2020-12-09,2020-12-09,Sequencing and Data Analysis Complete,2020-12-11,Klinisk Mikrobiologi,saureus,1,2100000,7.62,3.55,2020-12-09
Microbiology WGS Nextera XT,Rutinprov,2020-12-09,2020-12-09,Sequencing and Data Analysis Complete,2020-12-11,Klinisk Mikrobiologi,saureus,1,2100000,13.5,2.02,2020-12-09
Microbiology WGS Nextera XT,Rutinprov,2020-12-09,2020-12-09,Sequencing and Data Analysis Complete,2020-12-11,Klinisk Mikrobiologi,saureus,1,2100000,11.7,4.08,2020-12-09
Microbiology WGS Nextera XT,Rutinprov,2020-12-09,2020-12-09,Sequencing and Data Analysis Complete,2020-12-11,Klinisk Mikrobiologi,saureus,1,2100000,11.7,4.33,2020-12-09
Microbiology WGS Nextera XT,Rutinprov,2020-12-09,2020-12-09,Sequencing and Data Analysis Complete,2020-12-11,Klinisk Mikrobiologi,saureus,1,2100000,13.4,4.29,2020-12-09
Microbiology WGS Nextera XT,Rutinprov,2020-12-09,2020-12-09,Sequencing and Data Analysis Complete,2020-12-11,Klinisk Mikrobiologi,saureus,1,2100000,8.01,3.57,2020-12-09
Microbiology WGS Nextera XT,Rutinprov,2020-12-09,2020-12-09,Sequencing and Data Analysis Complete,2020-12-11,Klinisk Mikrobiologi,saureus,1,2100000,6.6,3.15,2020-12-09
Microbiology WGS Nextera XT,Rutinprov,2020-01-13,2020-01-13,Sequencing and Data Analysis Complete,2020-02-06,CTG - Bo Nilsson,sbovis,1,2000000,19.3,3.09,2020-01-14
Microbiology WGS Nextera XT,Rutinprov,2020-12-09,2020-12-09,Sequencing and Data Analysis Complete,2020-12-11,Klinisk Mikrobiologi,saureus,1,2100000,8.35,3.04,2020-12-09
Microbiology WGS Nextera XT,Rutinprov,2020-12-09,2020-12-09,Sequencing and Data Analysis Complete,2020-12-11,Klinisk Mikrobiologi,saureus,1,2100000,7.5,3.86,2020-12-09
Microbiology WGS Nextera XT,Rutinprov,2020-12-09,2020-12-09,Sequencing and Data Analysis Complete,2020-12-11,Klinisk Mikrobiologi,saureus,1,2100000,10.1,3.8,2020-12-09
Microbiology WGS Nextera XT,Rutinprov,2020-12-09,2020-12-09,Sequencing and Data Analysis Complete,2020-12-11,Klinisk Mikrobiologi,saureus,1,2100000,16.4,3.37,2020-12-09
Microbiology WGS Nextera XT,Rutinprov,2020-12-16,2020-12-16,Sequencing and Data Analysis Complete,2020-12-18,Klinisk Mikrobiologi,saureus,1,2100000,9.47,3.43,2020-12-16
Microbiology WGS Nextera XT,Rutinprov,2020-12-16,2020-12-16,Sequencing and Data Analysis Complete,2020-12-18,Klinisk Mikrobiologi,saureus,1,2100000,16.7,3.3,2020-12-16
Microbiology WGS Nextera XT,Rutinprov,2020-12-16,2020-12-16,Sequencing and Data Analysis Complete,2020-12-18,Klinisk Mikrobiologi,saureus,1,2100000,26.9,4.4,2020-12-16
Microbiology WGS Nextera XT,Rutinprov,2020-12-16,2020-12-16,Sequencing and Data Analysis Complete,2020-12-18,Klinisk Mikrobiologi,saureus,1,2100000,11.5,4.9,2020-12-16
Microbiology WGS Nextera XT,Rutinprov,2020-12-16,2020-12-16,Sequencing and Data Analysis Complete,2020-12-18,Klinisk Mikrobiologi,saureus,1,2100000,10.8,4.75,2020-12-16
Microbiology WGS Nextera XT,Rutinprov,2020-12-16,2020-12-16,Sequencing and Data Analysis Complete,2020-12-18,Klinisk Mikrobiologi,saureus,1,2100000,7.27,3.61,2020-12-16
Microbiology WGS Nextera XT,Rutinprov,2020-01-13,2020-01-13,Sequencing and Data Analysis Complete,2020-02-06,CTG - Bo Nilsson,sbovis,1,2000000,5.92,2.99,2020-01-14
Microbiology WGS Nextera XT,Rutinprov,2020-12-16,2020-12-16,Sequencing and Data Analysis Complete,2020-12-18,Klinisk Mikrobiologi,saureus,1,2100000,10.7,4.21,2020-12-16
Microbiology WGS Nextera XT,Rutinprov,2020-12-16,2020-12-16,Sequencing and Data Analysis Complete,2020-12-18,Klinisk Mikrobiologi,saureus,1,2100000,6.44,3.57,2020-12-16
Microbiology WGS Nextera XT,Rutinprov,2020-12-16,2020-12-16,Sequencing and Data Analysis Complete,2020-12-18,Klinisk Mikrobiologi,saureus,1,2100000,9.7,3.32,2020-12-16
Microbiology WGS Nextera XT,Rutinprov,2020-12-16,2020-12-16,Sequencing and Data Analysis Complete,2020-12-18,Klinisk Mikrobiologi,saureus,1,2100000,37,3.13,2020-12-16
Microbiology WGS Nextera XT,Rutinprov,2020-12-23,2020-12-23,Sequencing and Data Analysis Complete,2020-12-29,Klinisk Mikrobiologi,saureus,2,2100000,25.7,5.04,2020-12-28
Microbiology WGS Nextera XT,Rutinprov,2020-12-23,2020-12-23,Sequencing and Data Analysis Complete,2020-12-29,Klinisk Mikrobiologi,saureus,2,2100000,8.25,3.23,2020-12-28
Microbiology WGS Nextera XT,Rutinprov,2020-12-23,2020-12-23,Sequencing and Data Analysis Complete,2020-12-29,Klinisk Mikrobiologi,saureus,2,2100000,7.14,3.97,2020-12-28
Microbiology WGS Nextera XT,Rutinprov,2020-12-23,2020-12-23,Sequencing and Data Analysis Complete,2020-12-29,Klinisk Mikrobiologi,saureus,2,2100000,8.86,2.69,2020-12-28
Microbiology WGS Nextera XT,Rutinprov,2020-12-23,2020-12-23,Sequencing and Data Analysis Complete,2020-12-29,Klinisk Mikrobiologi,saureus,2,2100000,19.8,5.01,2020-12-28
Microbiology WGS Nextera XT,Rutinprov,2020-12-23,2020-12-23,Sequencing and Data Analysis Complete,2020-12-29,Klinisk Mikrobiologi,saureus,2,2100000,23.5,2.62,2020-12-28
Microbiology WGS Nextera XT,Rutinprov,2020-01-13,2020-01-13,Sequencing and Data Analysis Complete,2020-02-06,CTG - Bo Nilsson,sbovis,1,2000000,9.13,3.7,2020-01-14
Microbiology WGS Nextera XT,Rutinprov,2020-12-23,2020-12-23,Sequencing and Data Analysis Complete,2020-12-29,Klinisk Mikrobiologi,saureus,2,2100000,16.6,3.77,2020-12-28
Microbiology WGS Nextera XT,Rutinprov,2020-12-23,2020-12-23,Sequencing and Data Analysis Complete,2020-12-29,Klinisk Mikrobiologi,saureus,2,2100000,5.6,4.73,2020-12-28
Microbiology WGS Nextera XT,Rutinprov,2020-12-23,2020-12-23,Sequencing and Data Analysis Complete,2020-12-29,Klinisk Mikrobiologi,saureus,2,2100000,10.5,4.65,2020-12-28
Microbiology WGS Nextera XT,Rutinprov,2020-12-23,2020-12-23,Sequencing and Data Analysis Complete,2020-12-29,Klinisk Mikrobiologi,saureus,2,2100000,9.39,4.12,2020-12-28
Microbiology WGS Nextera XT,Rutinprov,2020-12-23,2020-12-23,Sequencing and Data Analysis Complete,2020-12-29,Klinisk Mikrobiologi,saureus,2,2100000,4.79,4.71,2020-12-28
Microbiology WGS Nextera XT,Rutinprov,2020-12-23,2020-12-23,Sequencing and Data Analysis Complete,2020-12-29,Klinisk Mikrobiologi,saureus,2,2100000,3.94,4.23,2020-12-28
Microbiology WGS Nextera XT,Rutinprov,2020-12-23,2020-12-23,Sequencing and Data Analysis Complete,2020-12-29,Klinisk Mikrobiologi,saureus,2,2100000,1.39,4.39,2020-12-28
Microbiology WGS Nextera XT,Rutinprov,2020-12-23,2020-12-23,Sequencing and Data Analysis Complete,2020-12-29,Klinisk Mikrobiologi,saureus,2,2100000,2.7,6.28,2020-12-28
Microbiology WGS Nextera XT,Rutinprov,2020-12-23,2020-12-23,Sequencing and Data Analysis Complete,2020-12-29,Klinisk Mikrobiologi,saureus,2,2100000,5.47,5.21,2020-12-28
Microbiology WGS Nextera XT,Rutinprov,2020-12-30,2020-12-30,Sequencing and Data Analysis Complete,2021-01-04,Klinisk Mikrobiologi,saureus,1,2100000,10.4,6.43,2020-12-30
Microbiology WGS Nextera XT,Rutinprov,2020-01-13,2020-01-13,Sequencing and Data Analysis Complete,2020-02-06,CTG - Bo Nilsson,sbovis,1,2000000,15.1,5.35,2020-01-14
Microbiology WGS Nextera XT,Rutinprov,2020-12-30,2020-12-30,Sequencing and Data Analysis Complete,2021-01-04,Klinisk Mikrobiologi,saureus,1,2100000,13.5,3.64,2020-12-30
Microbiology WGS Nextera XT,Rutinprov,2020-12-30,2020-12-30,Sequencing and Data Analysis Complete,2021-01-04,Klinisk Mikrobiologi,saureus,1,2100000,9.57,3.93,2020-12-30
Microbiology WGS Nextera XT,Rutinprov,2020-12-30,2020-12-30,Sequencing and Data Analysis Complete,2021-01-04,Klinisk Mikrobiologi,saureus,1,2100000,17.6,3.42,2020-12-30
Microbiology WGS Nextera XT,Rutinprov,2020-12-30,2020-12-30,Sequencing and Data Analysis Complete,2021-01-04,Klinisk Mikrobiologi,saureus,1,2100000,29.5,3.99,2020-12-30
Microbiology WGS Nextera XT,Rutinprov,2020-12-30,2020-12-30,Sequencing and Data Analysis Complete,2021-01-04,Klinisk Mikrobiologi,saureus,1,2100000,56,4.1,2020-12-30
Microbiology WGS Nextera XT,Rutinprov,2020-12-30,2020-12-30,Sequencing and Data Analysis Complete,2021-01-04,Klinisk Mikrobiologi,saureus,1,2100000,22.1,4.8,2020-12-30
Microbiology WGS Nextera XT,Rutinprov,2020-12-30,2020-12-30,Sequencing and Data Analysis Complete,2021-01-04,Klinisk Mikrobiologi,saureus,1,2100000,28.4,4.37,2020-12-30
Microbiology WGS Nextera XT,Rutinprov,2020-12-30,2020-12-30,Sequencing and Data Analysis Complete,2021-01-04,Klinisk Mikrobiologi,saureus,1,2100000,21.2,3.74,2020-12-30
Microbiology WGS Nextera XT,Rutinprov,2020-12-30,2020-12-30,Sequencing and Data Analysis Complete,2021-01-04,Klinisk Mikrobiologi,saureus,1,2100000,12.9,4.41,2020-12-30
Microbiology WGS Nextera XT,Rutinprov,2020-01-13,2020-01-13,Sequencing and Data Analysis Complete,2020-02-06,CTG - Bo Nilsson,sbovis,1,2000000,14,5.26,2020-01-14
Microbiology WGS Nextera XT,Rutinprov,2020-01-03,2020-01-03,Sequencing and Data Analysis Complete,2020-01-07,Klinisk Mikrobiologi,saureus,1,2100000,2.45,5.88,2020-01-03
Microbiology WGS Nextera XT,Rutinprov,2020-01-15,2020-01-15,Sequencing and Data Analysis Complete,2020-01-17,Klinisk Mikrobiologi,saureus,1,2100000,3.28,3.64,2020-01-15
Microbiology WGS Nextera XT,Rutinprov,2020-01-15,2020-01-15,Sequencing and Data Analysis Complete,2020-01-17,Klinisk Mikrobiologi,saureus,1,2100000,8.14,4.41,2020-01-15
Microbiology WGS Nextera XT,Rutinprov,2020-01-15,2020-01-15,Sequencing and Data Analysis Complete,2020-01-17,Klinisk Mikrobiologi,saureus,1,2100000,3.22,3.98,2020-01-15
Microbiology WGS Nextera XT,Rutinprov,2020-01-15,2020-01-15,Sequencing and Data Analysis Complete,2020-01-17,Klinisk Mikrobiologi,saureus,1,2100000,7.31,3.89,2020-01-15
Microbiology WGS Nextera XT,Rutinprov,2020-01-15,2020-01-15,Sequencing and Data Analysis Complete,2020-01-17,Klinisk Mikrobiologi,saureus,1,2100000,4.42,3.51,2020-01-15
Microbiology WGS Nextera XT,Rutinprov,2020-01-15,2020-01-15,Sequencing and Data Analysis Complete,2020-01-17,Klinisk Mikrobiologi,saureus,1,2100000,4.79,4.68,2020-01-15
Microbiology WGS Nextera XT,Rutinprov,2020-01-15,2020-01-15,Sequencing and Data Analysis Complete,2020-01-17,Klinisk Mikrobiologi,saureus,1,2100000,2.82,3.61,2020-01-15
Microbiology WGS Nextera XT,Rutinprov,2020-01-15,2020-01-15,Sequencing and Data Analysis Complete,2020-01-17,Klinisk Mikrobiologi,saureus,1,2100000,3.93,3.65,2020-01-15
Microbiology WGS Nextera XT,Rutinprov,2020-01-15,2020-01-15,Sequencing and Data Analysis Complete,2020-01-17,Klinisk Mikrobiologi,saureus,1,2100000,5.47,3.94,2020-01-15
Microbiology WGS Nextera XT,Rutinprov,2020-01-15,2020-01-15,Sequencing and Data Analysis Complete,2020-01-17,Klinisk Mikrobiologi,saureus,1,2100000,6.09,3.65,2020-01-15
Microbiology WGS Nextera XT,Rutinprov,2020-01-03,2020-01-03,Sequencing and Data Analysis Complete,2020-01-07,Klinisk Mikrobiologi,saureus,1,2100000,2.66,5.03,2020-01-03
Microbiology WGS Nextera XT,Rutinprov,2020-01-15,2020-01-15,Sequencing and Data Analysis Complete,2020-01-17,Klinisk Mikrobiologi,saureus,1,2100000,2.82,3.17,2020-01-15
Microbiology WGS Nextera XT,Rutinprov,2020-01-15,2020-01-15,Sequencing and Data Analysis Complete,2020-01-17,Klinisk Mikrobiologi,saureus,1,2100000,5.87,3.43,2020-01-15
Microbiology WGS Nextera XT,Rutinprov,2020-01-15,2020-01-15,Sequencing and Data Analysis Complete,2020-01-17,Klinisk Mikrobiologi,saureus,1,2100000,4.81,5.25,2020-01-15
Microbiology WGS Nextera XT,Rutinprov,2020-01-15,2020-01-15,Sequencing and Data Analysis Complete,2020-01-17,Klinisk Mikrobiologi,saureus,1,2100000,1.71,5.11,2020-01-15
Microbiology WGS Nextera XT,Rutinprov,2020-01-15,2020-01-15,Sequencing and Data Analysis Complete,2020-01-17,Klinisk Mikrobiologi,saureus,1,2100000,4.94,5.04,2020-01-15
Microbiology WGS Nextera XT,Rutinprov,2020-01-15,2020-01-15,Sequencing and Data Analysis Complete,2020-01-17,Klinisk Mikrobiologi,saureus,1,2100000,4.56,5.72,2020-01-15
Microbiology WGS Nextera XT,Rutinprov,2020-01-15,2020-01-15,Sequencing and Data Analysis Complete,2020-02-06,CTG - Bo Nilsson,sbovis,1,2000000,39.4,7.63,2020-01-24
Microbiology WGS Nextera XT,Rutinprov,2020-01-15,2020-01-15,Sequencing and Data Analysis Complete,2020-02-06,CTG - Bo Nilsson,sbovis,1,2000000,62.8,6.1,2020-01-24
Microbiology WGS Nextera XT,Rutinprov,2020-01-15,2020-01-15,Sequencing and Data Analysis Complete,2020-02-06,CTG - Bo Nilsson,sbovis,1,2000000,52.5,4.83,2020-01-24
Microbiology WGS Nextera XT,Rutinprov,2020-01-15,2020-01-15,Sequencing and Data Analysis Complete,2020-02-06,CTG - Bo Nilsson,sbovis,1,2000000,69.9,6.24,2020-01-24
Microbiology WGS Nextera XT,Rutinprov,2020-01-03,2020-01-03,Sequencing and Data Analysis Complete,2020-01-07,Klinisk Mikrobiologi,saureus,1,2100000,3.24,5.38,2020-01-03
Microbiology WGS Nextera XT,Rutinprov,2020-01-15,2020-01-15,Sequencing and Data Analysis Complete,2020-02-06,CTG - Bo Nilsson,sbovis,1,2000000,87.6,4.85,2020-01-24
Microbiology WGS Nextera XT,Rutinprov,2020-01-15,2020-01-15,Sequencing and Data Analysis Complete,2020-02-06,CTG - Bo Nilsson,sbovis,1,2000000,135,4.73,2020-01-24
Microbiology WGS Nextera XT,Rutinprov,2020-01-15,2020-01-15,Sequencing and Data Analysis Complete,2020-02-06,CTG - Bo Nilsson,sbovis,1,2000000,77.5,6,2020-01-24
Microbiology WGS Nextera XT,Rutinprov,2020-01-15,2020-01-15,Sequencing and Data Analysis Complete,2020-02-06,CTG - Bo Nilsson,sbovis,1,2000000,115,5.8,2020-01-24
Microbiology WGS Nextera XT,Rutinprov,2020-01-15,2020-01-15,Sequencing and Data Analysis Complete,2020-02-06,CTG - Bo Nilsson,sbovis,1,2000000,91.3,7.28,2020-01-24
Microbiology WGS Nextera XT,Rutinprov,2020-01-15,2020-01-15,Sequencing and Data Analysis Complete,2020-02-06,CTG - Bo Nilsson,sbovis,1,2000000,73.1,7.23,2020-01-24
Microbiology WGS Nextera XT,Rutinprov,2020-01-15,2020-01-15,Sequencing and Data Analysis Complete,2020-02-06,CTG - Bo Nilsson,sbovis,1,2000000,112,7.74,2020-01-24
Microbiology WGS Nextera XT,Rutinprov,2020-01-15,2020-01-15,Sequencing and Data Analysis Complete,2020-02-06,CTG - Bo Nilsson,sbovis,1,2000000,59.7,6.24,2020-01-24
Microbiology WGS Nextera XT,Rutinprov,2020-01-15,2020-01-15,Sequencing and Data Analysis Complete,2020-02-06,CTG - Bo Nilsson,sbovis,1,2000000,14,7.81,2020-01-24
Microbiology WGS Nextera XT,Rutinprov,2020-01-15,2020-01-15,Sequencing and Data Analysis Complete,2020-02-06,CTG - Bo Nilsson,sbovis,1,2000000,52.5,4.2,2020-01-24
Microbiology WGS Nextera XT,Rutinprov,2020-01-03,2020-01-03,Sequencing and Data Analysis Complete,2020-01-07,Klinisk Mikrobiologi,saureus,1,2100000,22.3,5.75,2020-01-03
Microbiology WGS Nextera XT,Rutinprov,2020-01-15,2020-01-15,Sequencing and Data Analysis Complete,2020-02-06,CTG - Bo Nilsson,sbovis,1,2000000,63.5,6.4,2020-01-24
Microbiology WGS Nextera XT,Rutinprov,2020-01-15,2020-01-15,Sequencing and Data Analysis Complete,2020-02-06,CTG - Bo Nilsson,sbovis,1,2000000,9.5,6.29,2020-01-24
Microbiology WGS Nextera XT,Rutinprov,2020-01-15,2020-01-15,Sequencing and Data Analysis Complete,2020-02-06,CTG - Bo Nilsson,sbovis,1,2000000,14.9,5.95,2020-01-24
Microbiology WGS Nextera XT,Rutinprov,2020-01-15,2020-01-15,Sequencing and Data Analysis Complete,2020-02-06,CTG - Bo Nilsson,sbovis,1,2000000,5.39,5.09,2020-01-24
Microbiology WGS Nextera XT,Rutinprov,2020-01-15,2020-01-15,Sequencing and Data Analysis Complete,2020-02-06,CTG - Bo Nilsson,sbovis,1,2000000,42.8,5.13,2020-01-24
Microbiology WGS Nextera XT,Rutinprov,2020-01-15,2020-01-15,Sequencing and Data Analysis Complete,2020-02-06,CTG - Bo Nilsson,sbovis,1,2000000,17.2,4,2020-01-24
