Process Date,Process ID,ProcessDate_ProcessID,Analysis,Artifact name,Concentration,Fragment length
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Fusion,724-20,1.91,388
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Bladder,20KFU0038,2.71,392
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Bladder,20KFU0007,2.31,405
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Fusion,144-20,0.865,N/A
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Bladder,20KFU0003,6.7,390
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Bladder,20KFU0004,2.05,408
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Bladder,19KFU0201,1.47,412
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Bladder,20KFU0002,2.65,423
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Fusion,724-20,1.91,388
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Bladder,20KFU0038,2.71,392
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Bladder,20KFU0007,2.31,405
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Fusion,144-20,0.865,N/A
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Bladder,20KFU0003,6.7,390
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Bladder,20KFU0004,2.05,408
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Bladder,19KFU0201,1.47,412
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Bladder,20KFU0002,2.65,423
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Fusion,724-20,1.91,388
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Bladder,20KFU0038,2.71,392
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Bladder,20KFU0007,2.31,405
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Fusion,144-20,0.865,N/A
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Bladder,20KFU0003,6.7,390
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Bladder,20KFU0004,2.05,408
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Bladder,19KFU0201,1.47,412
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Bladder,20KFU0002,2.65,423
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Fusion,724-20,1.91,388
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Bladder,20KFU0038,2.71,392
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Bladder,20KFU0007,2.31,405
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Fusion,144-20,0.865,N/A
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Bladder,20KFU0003,6.7,390
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Bladder,20KFU0004,2.05,408
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Bladder,19KFU0201,1.47,412
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Bladder,20KFU0002,2.65,423
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Fusion,724-20,1.91,388
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Bladder,20KFU0038,2.71,392
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Bladder,20KFU0007,2.31,405
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Fusion,144-20,0.865,N/A
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Bladder,20KFU0003,6.7,390
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Bladder,20KFU0004,2.05,408
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Bladder,19KFU0201,1.47,412
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Bladder,20KFU0002,2.65,423
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Fusion,724-20,1.91,388
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Bladder,20KFU0038,2.71,392
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Bladder,20KFU0007,2.31,405
2020-02-13,24-80020,2020-02-13_24-80020,TruSeq Stranded mRNA - Bladder,20KFU0019,1.44,394
2020-02-13,24-80020,2020-02-13_24-80020,TruSeq Stranded mRNA - Bladder,20KFU0041,1.15,400
2020-02-13,24-80020,2020-02-13_24-80020,TruSeq Stranded mRNA - Bladder,20KFU0019,1.44,394
2020-02-13,24-80020,2020-02-13_24-80020,TruSeq Stranded mRNA - Bladder,20KFU0041,1.15,400
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0047,0.9,403
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0046,1.4,407
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0020,0.29,391
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0021,1.34,426
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0022,2.38,439
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0023,1.13,414
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0042,0.38,401
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0043,0.38,366
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0044,0.37,415
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0045,0.46,387
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0047,0.9,403
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0046,1.4,407
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0020,0.29,391
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0021,1.34,426
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0022,2.38,439
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0023,1.13,414
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0042,0.38,401
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0043,0.38,366
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0044,0.37,415
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0045,0.46,387
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0047,0.9,403
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0046,1.4,407
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0020,0.29,391
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0021,1.34,426
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0022,2.38,439
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0023,1.13,414
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0042,0.38,401
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0043,0.38,366
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0044,0.37,415
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0045,0.46,387
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0047,0.9,403
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0046,1.4,407
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0020,0.29,391
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0021,1.34,426
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0022,2.38,439
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0023,1.13,414
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0042,0.38,401
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0043,0.38,366
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0044,0.37,415
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0045,0.46,387
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0047,0.9,403
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0046,1.4,407
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0020,0.29,391
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0021,1.34,426
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0022,2.38,439
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0023,1.13,414
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0042,0.38,401
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0043,0.38,366
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0044,0.37,415
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0045,0.46,387
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0047,0.9,403
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0046,1.4,407
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0020,0.29,391
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0021,1.34,426
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0022,2.38,439
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0023,1.13,414
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0042,0.38,401
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0043,0.38,366
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0044,0.37,415
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0045,0.46,387
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0047,0.9,403
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0046,1.4,407
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0020,0.29,391
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0021,1.34,426
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0022,2.38,439
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0023,1.13,414
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0042,0.38,401
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0043,0.38,366
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0044,0.37,415
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0045,0.46,387
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0047,0.9,403
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0046,1.4,407
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0020,0.29,391
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0021,1.34,426
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0022,2.38,439
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0023,1.13,414
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0042,0.38,401
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0043,0.38,366
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0044,0.37,415
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0045,0.46,387
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0047,0.9,403
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0046,1.4,407
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0020,0.29,391
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0021,1.34,426
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0022,2.38,439
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0023,1.13,414
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0042,0.38,401
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0043,0.38,366
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0044,0.37,415
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0045,0.46,387
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0047,0.9,403
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0046,1.4,407
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0020,0.29,391
2020-02-14,24-80203,2020-02-14_24-80203,TruSeq Stranded mRNA - Bladder,20KFU0021,1.34,426
